time,level,pv_300,pv_700,pv_850,pv_925,pv_1000,wnd_300,wnd_500,wnd_850,z_250,z_500,z_850,z_925,z_1000,t_250,t_500,t_850,t_925,t_1000,q_850,q_925,q_1000,ivt,thickness_1000_500,qvec_div,qvec_magn,abs_vort,thetae_850,thetae_925,thetae_1000,fgen_700,fgen_850,fgen_925,fgen_1000,tadv_500,tadv_850,tadv_925,tadv_1000,rel_vort_500,rel_vort_850,rel_vort_925,rel_vort_1000,total_deformation_500,total_deformation_850,total_deformation_925,total_deformation_1000,shearing_deformation_500,shearing_deformation_850,shearing_deformation_925,shearing_deformation_1000,stretching_deformation_500,stretching_deformation_850,stretching_deformation_925,stretching_deformation_1000,thetae_grad_850,thetae_grad_925,thetae_grad_1000,t_grad_850,t_grad_925,t_grad_1000,label,year,month,day
2017-02-20 03:00:00,300.0,1.6185513216152025e-12,4.138273653874619e-13,1.1416559971694218e-12,7.020717015561451e-13,2.9974034864398147e-13,66.50054931640625,47.30278396606445,14.507477760314941,101131.6875,53412.3671875,12780.12109375,5985.79736328125,-358.952392578125,229.6737518310547,253.6666259765625,277.21343994140625,280.21875,284.6116027832031,0.0059982952661812305,0.006744998041540384,0.007530825678259134,289.6417398012752,53771.3203125,7.376485862368918,8.594348995750908,20.44680537226592,307.8085295522728,305.76789022778553,305.78453390326473,-0.28428991873421205,3.815574221527159,5.034722242400579,2.3388341087130358,1.238140337010501,2.7193386328735127,1.377577058778468,0.47358226745173576,11.170094309744348,25.373996608777492,20.325351772919035,10.735552011262754,11.38731795537797,12.212644641226573,14.393082598508641,11.91652731332243,-2.0032833298245953,-2.994555131620811,10.927872750894714,11.400896978543308,11.209721946476655,11.36486121405246,8.512992031966004,3.3141589730577694,11.45976325003189,10.013414219669475,6.913388430615025,5.373940817151718,4.112123494703051,2.7979492698684494,MFW,2017,2,20
2019-02-13 17:00:00,300.0,2.834755867542338e-12,6.396731018140644e-13,7.216294619152852e-13,2.2244056911095017e-13,1.9263825018663028e-13,62.04975891113281,33.05807876586914,4.916994094848633,101770.875,54062.765625,12925.59375,6071.7314453125,-321.6953125,227.4002685546875,256.5447692871094,280.7173156738281,281.85626220703125,286.90032958984375,0.007658256217837334,0.007463790010660887,0.008273485116660595,72.23188580311981,54385.9609375,0.44119677034150373,4.634380986678429,16.619157320547867,316.5125247616305,309.52650815640175,310.3014929001176,0.5113841492927256,0.2972509290700777,3.4903435368290516,0.7987495254460684,0.6422100030606676,0.22709735379726614,-0.1041478017915574,-0.2127154031032176,8.463759401962697,14.567501006250325,10.998039489150099,2.9299226731868107,7.176355599770435,18.061134922128186,15.736003998575857,6.364727389682416,-0.9763343709549579,7.618785873203746,12.19057513399769,6.333996196794693,6.938879305742498,14.607932738820026,5.1509007510099964,-0.43697438877148764,9.567862017842096,9.334813858246731,5.338438107853735,3.4653008692887948,3.6487352651570832,1.6306381888676595,MFW,2019,2,13
2015-11-19 02:00:00,300.0,-3.91910353995939e-14,5.832843973443969e-13,7.254420588548305e-13,8.222996394045834e-13,7.72415646526324e-14,46.61855697631836,32.7978515625,24.03472900390625,103417.375,55654.50390625,14454.453125,7550.1298828125,1110.97265625,220.70819091796875,258.457275390625,281.43328857421875,284.64654541015625,288.046142578125,0.008067361079156399,0.009145204909145832,0.009784027934074402,917.0497432458412,54543.53125,0.5708266477673842,2.1049598873060678,6.449403651423217,318.43140260434103,317.38374523469747,315.8249732921416,-0.040296102266221816,0.12560582964920264,0.004038974066042848,0.8554064691425349,0.4068673674562546,-0.10435728325406095,0.24972597180534095,0.04121321939102141,-3.9624230941240657,-0.3133180914063653,12.330787106472172,15.390867447779609,3.741563366015514,6.430614493623563,10.496846302575719,17.816196100618207,1.2655700519736652,-4.625253355013964,-9.758990557841987,-14.38353500450258,-3.2596909545117185,3.0084302221142627,4.420355877740265,6.732633719014442,4.483181519936712,3.7831874179520275,4.1120532617998045,1.5108755203267368,1.2835477390106103,1.395033722391367,MFW,2015,11,19
2016-01-28 17:00:00,300.0,1.1390148264671385e-13,8.455390250808326e-13,2.391956424596664e-12,1.3526005402525465e-12,3.765744497914031e-13,62.431087493896484,47.82096862792969,23.61760139465332,101569.3125,54159.08203125,13454.609375,6649.9541015625,287.850830078125,222.4556121826172,256.4205322265625,278.0279846191406,280.7427978515625,285.6937561035156,0.006285991054028273,0.007088592275977135,0.007793685421347618,577.9314857468856,53884.35546875,1.0178705683036937,14.443652768065446,14.644030727051026,309.70175177016887,307.24467560709326,307.6374047420313,-0.9184842853319829,-0.8668598944870245,0.3523045123549212,0.4695385712641996,3.252484047801266,2.3385252110778705,1.5810803334689614,0.0792024808579008,5.0759149546768,44.61291842582456,30.416442246178214,6.276857002643953,19.602239007639973,14.696181245611264,14.776047685893584,12.79129818946669,-15.493796024778403,3.573137449665354,6.2472483312180636,5.040853366071989,-10.020904514136621,-9.796926380914835,-13.717219724569198,-7.819145870605873,5.49629668902925,5.045129024978764,2.7077772193058434,3.4623267181780437,2.185479741616083,0.6191686198879962,MFW,2016,1,28
2014-02-07 13:00:00,300.0,3.2595470376636793e-13,5.512410731871309e-13,7.917988096781126e-13,1.883308830066821e-12,8.663046408702302e-13,43.845458984375,34.61580276489258,24.35348892211914,101962.625,54495.78125,13393.03125,6505.0244140625,71.35546875,219.89886474609375,256.59814453125,281.0647888183594,284.38177490234375,288.3031921386719,0.002086399123072624,0.005184737499803305,0.008876951411366463,442.93903811029696,54425.17578125,5.8753835771321175,1.4218898113257965,9.496021102627635,300.76559084529254,306.3679925077447,313.77761677257115,0.02740200604547924,0.063461988627203,-0.6847513510386556,-0.02251477068047722,1.1035899558758842,-0.6826905451215819,-1.6661962573040499,-0.5262101174539103,0.07845598080356135,11.604043824198873,14.711565450416112,14.876495521907101,3.575125067658189,2.8892074627594075,8.210528085360558,9.819170950875387,1.4251856590451641,-0.8696055123170859,-1.9826632776430262,-6.308269414649086,-3.0887751388776845,-1.3482913991409986,-7.967547788873332,-7.5247495077721975,2.674506183910943,10.849436672140703,3.5841248886022323,0.8049598860063317,2.3000663409480016,1.1717885195466073,MFW,2014,2,7
2012-10-18 09:00:00,300.0,-1.5633577332002657e-13,9.858049706407135e-13,9.261130274121343e-13,1.2613891051463377e-12,2.4811015329924413e-13,43.213279724121094,25.217119216918945,19.633901596069336,103002.1875,55279.84375,14075.0,7146.08203125,698.0703125,220.85012817382812,257.7772216796875,282.29443359375,285.88916015625,288.19488525390625,0.007470327895134687,0.009160701185464859,0.010220968164503574,448.40367974418194,54595.0234375,1.9480804838499934,8.461803708956113,8.881478379520162,317.7612442032083,319.795976119138,317.190325307581,0.012773632009827729,0.019054819654894434,1.8367978234086477,7.5316328407889515,-0.7882146324975102,0.4998485180333519,2.1123991095073817,0.7256413191302358,-1.4311295518641196,11.533413685084225,32.729671967617115,21.129240202395675,7.14679956704514,19.45007650828588,34.88853360383723,24.762475994507867,5.426301711528499,-17.420181646989455,-20.568665411409416,-12.360185580419703,-4.851992385094771,8.651170300257986,25.5586053177273,22.479444126367838,6.722231968642854,12.402721908441928,17.16598682246003,1.0555738848020297,7.8097857207563735,4.859765451729352,MFW,2012,10,18
2017-11-15 06:00:00,300.0,6.756117475366363e-13,6.706977638201717e-13,1.7999846405047926e-12,2.5822954885512672e-12,1.645821608338427e-13,30.002416610717773,16.916946411132812,11.33602237701416,103833.25,55999.7578125,14501.39453125,7584.02734375,1153.04150390625,222.16490173339844,258.96600341796875,282.6181945800781,284.48699951171875,288.2432861328125,0.008613263256847858,0.00895465537905693,0.009657002054154873,194.35414264376257,54846.71484375,4.913819074528113,3.8616312527373675,6.922324779378003,321.4149589271087,316.6614844838658,315.6738896633435,-1.0742564780721957,2.769850468824964,11.476750103791332,16.542448721735568,0.010226977733378939,1.6535981198261025,0.7538438987727878,-1.0483652713570601,-1.494893415518722,31.342476234380882,50.16637257137634,41.06400603903524,8.170335974536627,23.110536154087384,30.871014384081672,30.58665583653963,5.360379398851278,-11.840105278794228,9.955357018894137,18.743863010805985,5.298847256416521,22.055543831282105,30.00553545306169,24.170459546625565,12.69666269544287,20.273453891840806,21.81240334409205,4.77654975031208,6.837881261709719,7.2057703953901004,MFW,2017,11,15
2017-03-17 06:00:00,300.0,2.5255757771583398e-14,6.159679970946241e-13,6.952177548924521e-13,1.7532002325598706e-12,2.2225866980196685e-12,43.465293884277344,14.810504913330078,18.673973083496094,102629.5,55015.2265625,13845.37109375,6920.6171875,506.650146484375,219.39540100097656,257.43511962890625,282.9876708984375,284.5792236328125,286.2262268066406,0.007497983053326607,0.009057535789906979,0.00912953820079565,471.66508942053855,54518.203125,1.2485474140225523,3.158776850504573,19.645994381386043,318.7923332791329,317.05611373803947,311.9512464089141,-0.010565955458352108,0.08758302833632756,-2.0278868682142726,1.5371800702078147,-0.46447333691360376,-0.5704488969970894,-0.43548785820577923,-0.17841208033772343,10.41847434740474,6.229161203475284,28.2761732337172,40.82480813598174,9.996148972765527,7.9164734759481625,25.454803726021364,34.22204720802637,9.658119392555836,2.540188306377419,-6.329817414773576,4.356105345347591,1.7423293197585485,5.721700179422937,24.655231579238922,32.50885858126121,5.721322240189586,9.72170238833811,13.401732990381396,1.4560139915447308,3.4782726607412586,3.9444925604350285,MFW,2017,3,17
2011-11-22 14:00:00,300.0,1.0655185230228764e-13,8.752686075919058e-13,5.414331092842839e-13,5.786423315327915e-13,-8.034403220849584e-13,46.485252380371094,28.38611602783203,27.042543411254883,101219.5,54014.96875,13277.41796875,6423.3857421875,7.1162109375,218.23910522460938,254.5556182861328,279.21197509765625,283.2294921875,287.37652587890625,0.005897369235754013,0.008111563511192799,0.009173464961349964,785.5823594887106,54007.8515625,-0.29505452860064507,4.646258665652421,8.032146066990167,309.65455318679915,312.8832512077562,313.33499918776107,-0.08518572593772643,0.31675832204568605,1.055644998172351,1.0885546181437025,-0.2853491823082198,-0.33965306390928024,0.22190115942734706,0.32278430724186835,-1.342416273828549,10.752966710979216,10.423235166235393,3.8507034939581732,6.5743613664354195,9.845547364655898,9.571008838920969,7.9250363991844734,3.884215673943726,-2.0318540238006504,-2.1291342824573976,2.6495904443850447,-5.304252631122361,9.63360639302062,9.331184137180443,7.644561376015462,2.574094289437684,2.2384404547721775,4.163246984701502,2.136533924189482,1.605539696570198,2.0046198841579526,MFW,2011,11,22
2023-01-09 12:00:00,300.0,1.919352128404092e-13,-2.705492080368188e-13,6.355258116638729e-13,6.467016592376362e-13,-1.9148865707061674e-13,48.763671875,41.3150520324707,20.714080810546875,103684.6875,55621.8828125,14333.91015625,7368.0791015625,882.980712890625,221.5861358642578,258.306884765625,283.71331787109375,286.7958984375,290.2322998046875,0.008171560242772102,0.0095474012196064,0.010070032440125942,730.3991202666167,54739.27734375,-1.8437024411762184,5.740684719726837,-9.107075854696964,321.62558056790454,320.98276024293807,319.02921885818347,-0.6376908727903339,0.38887101757863984,1.981634962465044,0.47479765100319793,-0.07983230613216584,-0.40991692824183185,-0.05976736050240453,0.04008907093271206,-16.618509597942424,12.382388145248125,11.159323474573565,6.512983883697011,16.313940695475047,6.9813076634141735,13.961638577157775,8.078883133173916,6.823331857863118,5.098423950239685,6.094212458584489,1.7723883260516045,-15.628542359008405,2.853072206183417,12.375736467056143,3.7297834275917343,12.389570199244512,17.88111890671927,12.301178886808763,1.5440667743480656,1.7439043156814618,1.782369721588593,MFW,2023,1,9
